,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.001161802,-0.050563272,0.0025068026,0.013756718,-0.068873934,-0.17082281,0.14867592,0.12368342,-0.16506866,-0.16132109,0.01048423,-0.019396989,0.12493671,-0.10339512,0.087583765,0.08911601,0.014031647,-0.08724155,-0.080698065,-0.13030733,0.09136198,0.08070366,0.15741603,0.11444043,0.02796567,0.051387466,-0.049373303,-0.1724751,-0.023046173,0.096858814,-0.09980583,-0.06373485
1,-0.14012302,0.1646344,0.15439627,-0.14849329,0.047791634,0.0011931362,0.11746526,0.1823175,0.06950092,0.16952808,0.15414608,0.02202278,0.1621033,-0.08275116,0.101030104,0.100399375,0.12661923,0.10309211,-0.085247785,0.14607233,-0.11350607,0.054703116,0.0062308693,0.013508181,-0.12411057,-0.052742247,-0.2198537,-0.13304897,0.0134400185,0.043417092,0.04995799,0.0076242946
2,-0.05844302,0.026229098,-0.06405854,-0.06999113,0.061390363,-0.027672324,0.10037209,-0.077917695,0.062472735,-0.14525653,-0.12574248,-0.05176759,-0.0058283517,0.12359052,0.13365437,-0.088409685,0.03449447,-0.14895,0.046224523,-0.008023417,-0.0475601,-0.0643007,-0.1573748,-0.10455034,-0.07715189,-0.10246288,-0.09125794,0.14802232,0.1661945,0.1706779,0.06988972,-0.05215979
3,-0.16557667,-0.04351486,0.16303548,-0.039298218,-0.032207627,0.052591123,-0.1317756,0.12857549,0.08665959,0.079823434,-0.088138,-0.044395655,-0.17420909,0.10137437,0.105099365,-0.04213541,-0.098053835,0.0103650205,-0.17031476,3.907696e-05,0.1559443,-0.06880855,0.03070966,-0.059910826,0.12334692,-0.07334672,0.027608437,0.12152883,0.13509698,0.09942459,0.14634605,-0.099716745
4,0.065231025,0.0515522,0.053180225,0.043454513,-0.07750054,0.055846576,-0.026709005,0.030610451,-0.13047212,-0.117036276,-0.043422114,0.019932048,-0.0668281,-0.14256315,-0.15640631,0.0387214,0.0921496,0.17309509,-0.17277,0.17354372,0.018024188,-0.1132899,-0.04338942,0.14283167,-0.07324129,0.00022714681,-0.0006976966,-0.045671307,-0.052642606,-0.105541654,0.054340497,0.13975607
5,-0.07469324,0.21381947,-0.028274516,-0.09943519,-0.09580621,-0.1384276,0.097245656,0.0096652685,-0.15976237,-0.17646766,0.10640521,0.21452254,-0.05673014,0.071979046,-0.034967292,-0.06874861,0.1703207,-0.11282585,0.15145835,-0.11768548,0.06909305,0.059912022,-0.053558826,0.058302738,-0.022364268,0.09313241,-0.24225013,-0.17181353,0.102641836,-0.037051354,0.091901354,0.11921254
6,-0.13106598,0.16215353,0.17563717,0.09300907,0.03695568,-0.06891201,0.1653127,0.18193391,-0.113591895,0.04889328,-0.15561363,0.21654855,-0.070363924,0.0016892743,0.061884202,-0.03389118,-0.03752742,-0.09962736,-0.009208511,0.025329007,0.010818822,-0.07476394,-0.14340782,0.034969404,0.11462529,0.06445437,-0.21185768,0.11274888,0.022257946,-0.14421736,-0.098472916,-0.102552086
7,-0.16872203,0.16833898,0.007558933,-0.14874229,-0.14300372,-0.11150461,0.12859216,-0.027594423,0.06687622,0.14537589,-0.16154113,-0.09560033,0.008633109,-0.03459178,-0.19976002,-0.15781945,0.13268983,0.08865093,0.07216239,0.18178236,0.07482501,0.12390142,-0.05280889,-0.08801025,-0.055776324,0.019066356,-0.05525202,0.08415357,-0.0061931317,-0.09874732,-0.067842126,-0.035014343
8,-0.057296984,0.053647947,-0.14442644,-0.10204787,-0.053264126,0.079650894,-0.15227222,0.13056584,-0.012272443,0.017130494,0.1434063,-0.07756392,-0.16021962,-0.0996693,-0.08824679,-0.14061312,-0.15921211,0.11303526,-0.027351163,0.123300515,-0.105125435,0.1355173,-0.041087493,-0.10384332,0.033605043,-0.08179801,0.052279253,-0.012047274,-0.16866426,0.11120331,0.036355145,-0.14066422
9,-0.0016051289,0.1414366,0.16223176,0.16325396,0.12405285,0.13199325,0.16071054,-0.094061166,0.17048575,-0.013460444,-0.16550082,-0.1641607,0.13142948,0.021268617,0.034463897,-0.089066915,-0.087415285,-0.02544666,0.04986623,-0.1221649,0.088125356,0.04652087,-0.14423564,0.12375991,0.08301913,0.16308843,-0.13059351,-0.081600666,0.11827545,-0.07809756,0.13225853,-0.07057486
10,-0.030385135,-0.06137934,-0.15109295,-0.13615759,0.05152044,-0.02436262,-0.10935043,0.12150426,0.11186991,-0.016993362,-0.13461174,0.18735495,0.11286123,0.12473737,-0.10076514,-0.0075299493,-0.058887076,0.1789052,-0.11421058,0.18816729,0.08760578,-0.014249612,-0.026225746,0.1421497,0.08835402,0.09036106,0.12657852,0.097914234,0.04087873,-0.121384285,-0.13443176,-0.08665832
11,-0.11379463,0.14023404,0.07662832,0.012680118,-0.042244818,0.14792806,-0.06872556,-0.16461067,-0.16639537,0.09336148,-0.12287361,-0.1422142,0.08390007,0.056012083,-0.04479036,-0.04393536,-0.15165094,-0.16107328,-0.049509652,-0.16939963,0.16908759,0.04036841,0.110275716,-0.08041042,0.11759928,0.06555756,-0.08552431,0.055630997,0.03807928,0.09663155,-0.17619038,0.057368096
12,-0.12449452,-0.0760354,0.09330736,-0.10626486,0.08937624,0.068044804,-0.03126889,-0.04213521,-0.014202731,0.16430578,0.020430379,0.1078723,0.026786674,0.02297859,-0.051607624,-0.033481613,-0.14493379,0.02078163,-0.08768546,0.1159481,0.15461299,-0.0724055,-0.12029514,-0.052283004,-0.13034967,0.14541383,0.1310646,0.09994999,-0.032880984,0.1664776,0.08272714,-0.057711896
13,0.15632126,-0.029237963,0.015607221,0.024034,0.06744837,-0.09750299,-0.13679132,0.17408332,-0.1372968,0.07723252,0.03063169,-0.15060256,-0.08943436,0.069874056,-0.1337484,-0.03466302,-0.1110647,0.058319468,-0.06439374,0.06037268,-0.15691505,0.08708587,0.014384405,0.09930366,0.15609416,-0.022597838,-0.05517375,0.054101635,-0.09923819,-0.12445983,-0.093005955,-0.04184075
14,-0.006917152,-0.100439325,-0.012444086,0.16821674,-0.14455847,0.020241316,-0.0616401,0.10476674,-0.07288256,0.07848133,0.129988,-0.13954587,-0.032993615,-0.0028893254,-0.074533075,-0.07995737,0.016736072,0.14167388,0.030271241,-0.10784051,-0.14900894,0.015545693,0.17156525,-0.00363716,0.10211717,0.051552687,0.03981059,0.056367844,-0.1417516,0.04400525,-0.11047931,0.007964208
15,-0.086742684,0.09519033,0.10965248,-0.13521314,-0.06949782,0.04882911,-0.049326643,0.109394066,-0.0034437075,-0.03213993,-0.143092,-0.021230157,-0.1657126,-0.021938873,-0.14957839,0.035930425,0.10155094,-0.009797486,0.09813063,2.6072345e-05,0.10390197,-0.0308675,-0.11345292,0.0070050512,0.12679295,0.055834983,-0.11466646,-0.02888935,0.0042186915,0.03817082,-0.104468025,0.12108509
16,-0.16619986,-0.06284339,0.06549173,-0.16887987,0.07709208,0.14379197,0.13073929,-0.118112646,-0.0051117074,0.027056668,-0.14351529,-0.03348536,-0.16172738,-0.051144868,0.023123,-0.08154371,-0.01421591,-0.030974427,-0.12095787,0.056211032,0.09654986,0.026943931,0.11173535,-0.04170825,0.06798127,-0.043511912,0.119674414,-0.0404259,0.030192679,-0.09324682,0.038565043,-0.022227965
17,0.13289881,0.19794942,0.1661097,-0.1601921,-0.036755886,0.069848605,0.019391112,-0.14553928,-0.08819293,0.08052602,0.1383671,0.18796964,0.15501826,-0.03970604,-0.08872827,-0.10595787,-0.09610804,-0.101023644,-0.08288872,0.048728462,0.15951866,0.15908404,-0.042245615,0.031147543,-0.1761791,0.04697637,-0.027383838,-0.015092396,0.03676598,-0.11676606,-0.14642188,-0.05204534
18,0.009047492,0.25462398,0.1098782,-0.11421691,0.043874726,0.04219102,-0.14495246,0.1775527,-0.10254134,-0.16663761,0.051975783,0.021840803,0.06435221,0.081862435,-0.22851466,0.041765723,0.010391151,0.15587194,-0.1689075,0.24263673,0.13259155,0.18220462,0.07602124,0.04077871,0.07443621,0.110499434,-0.1889713,0.09145075,-0.013780807,-0.08233915,0.13057794,0.023432788
19,-0.07879323,-0.057620972,0.17170145,-0.14959922,0.10105473,-0.026328966,-0.0070823375,0.096596226,0.008079892,0.06693731,0.057760336,0.09820006,-0.07499855,-0.0584808,0.015117364,0.09414637,-0.087870285,0.095438994,0.14397562,-0.17229928,-0.17092827,-0.046923257,0.06344525,0.12436254,0.09172572,0.025527218,-0.09095325,0.038944963,0.11154019,0.065312274,-0.0052586724,-0.060577475
20,0.00556476,0.12712409,0.024423404,-0.06534188,-0.15490162,-0.042585816,-0.12621233,0.030806363,-0.11976537,0.099841096,-0.11807785,0.07655727,-0.14421313,-0.020438403,0.06966636,-0.15756004,0.011548516,-0.12949932,0.13532282,-0.063034676,0.061874952,0.08270305,0.14052095,0.088358596,-0.0690563,-0.16305068,-0.111455016,-0.09845944,0.018402647,0.118693605,0.08785987,-0.12953404
